session,date,lecturer,topic,description,literature
1,15.09.2026,"Viktoria Cologna & Jan Pfänder","Introduction and organizational questions","Why is climate change communication important and why is it so challenging?","Markowitz & Guckian (2018). Climate change communication: Challenges, insights, and opportunities."
2,22.09.2026,"Viktoria Cologna","Climate change, the deficit model, and public opinion","What is climate change and how does it occur? Does knowledge-focused communication about climate change lead to more concern and engagement? What is the public opinion about climate change?","Metag et al. (2017). Global warming's five Germanys.

Leiserowitz et al. (2024). Climate Change in the American Mind: Beliefs & Attitudes. **[TODO: missing from reference list]**

Shi et al. (2016). Knowledge as a driver of public perceptions about climate change reassessed."
3,29.09.2026,"Invited speaker","Guest speaker: Dr. Leonard Creutzburg","**[TODO: blurb below describes a different person (Dr. Lydia Ebersbach, WWF) — rewrite for the actual speaker]**

Dr. Lydia Ebersbach is media relations manager at WWF Switzerland. She holds a Magister in History, Politics and Economics from Potsdam University, a PhD in Marketing from St. Gallen University and completed a CAS in Storytelling and Brand Journalism at MAZ / HSL. She will talk to us about the challenges of climate communication from the perspective of a Swiss NGO.","**[TODO: framing literature listed here in the template likely belongs to session 4]**

Lakoff, G. (2010). Why it Matters How We Frame the Environment.

Dasandi et al. (2022). Positive, global, and health or environment framing bolsters public support for climate policies.

Supran & Oreskes (2021). Rhetoric and frame analysis of ExxonMobil's climate change communications."
4,06.10.2026,"Jan Pfänder","Mental models and framing","What are mental models? Which frames are used in climate change communication? How can we frame climate change in a way that allows us to reach different population groups? What are the strategies, channels, and messages used by different stakeholders?","**[TODO: template lists the climate-delay/denial literature here, which matches session 5's topic — check alignment]**

Lamb, W. F. et al. (2020). Discourses of climate delay.

Cook, J. (2020). Deconstructing Climate Science Denial."
5,13.10.2026,"Jan Pfänder","Climate change misinformation","What are discourses that delay action on climate change? How do you identify climate science denial and how do you respond to it?","**[TODO: template's literature cell held only a guest-prep note — assign readings]**"
6,20.10.2026,"TODO","Emotions and behavior","What is the role of emotions in climate change communication? How can we communicate about climate change in a way that increases feelings of self-efficacy? How does media usage relate to behavioral intentions?","Myers, T. A. et al. (2023). Emotional responses to climate change information and their effects on policy support.

Ogunbode et al. (2022). Climate anxiety, wellbeing and pro-environmental action.

Stanley et al. (2021). From anger to action."
7,27.10.2026,"TODO","A question of trust","Which actors are the most trusted sources of information about climate change? How can we maintain and potentially increase trust in climate change communicators? What is the role of climate scientists in communicating and engaging on the topic?","Cologna, V. et al. (2024). Trust in climate science and climate scientists: a narrative review.

Oreskes, N. (2020). What Is the Social Responsibility of Climate Scientists?"
8,03.11.2026,"Invited speaker","Guest speaker: Dr. Cornelia Schwierz","**[TODO: confirm speaker still current]**

Dr. Cornelia Schwierz is Head of Climate Monitoring and Information at the Federal Office of Meteorology and Climatology (MeteoSwiss). In her talk, she will tell us about the challenges the Federal Office faces in communicating about climate change and how they overcome them.","Preparation: Come to class with at least 3 questions for our guest speaker."
9,10.11.2026,"Viktoria Cologna","Climate change in the media","How has climate change communication in the media evolved over time? How is climate change depicted in the media? How does imagery affect public perceptions of climate change?","Metag, J. et al. (2016). Perceptions of Climate Change Imagery.

O'Neill, S. J. (2013). Image matters. Climate change imagery in US, UK and Australian newspapers."
10,17.11.2026,"TODO","MISSING","**[TODO: topic missing in the template — define this session]**","Barkemeyer et al. (2017). Media coverage of climate change: An international comparison.

Klinger, K., & Metag, J. (2021). Media effects in the context of environmental issues.

Schäfer and Painter (2021). Climate journalism in a changing media ecosystem."
11,24.11.2026,"Invited speaker","Guest speaker: Cornelia Eisenach","**[TODO: blurb below describes a different person (Sabrina Weiss) — rewrite for the actual speaker]**

Sabrina Weiss is a Swiss climate journalist. She holds a BA in Media & Communication Sciences from the University of Zurich and an MSc in Communication Psychology from the London School of Economics and Political Science. Sabrina Weiss is the co-founder of the Climate Journalism Network. In her talk, she will tell us about the challenges of climate change communication in journalism and how to overcome them.","Preparation: Come to class with at least 3 questions for our guest speaker."
12,01.12.2026,"Invited speaker","Guest speaker: Reto Knutti","**[TODO: description below is a wrap-up summary from the old course, not a speaker blurb — rewrite]**

Based on what we have learned in the previous weeks, we will summarize and discuss successful communication strategies.","Maibach, E. W. et al. (2023). Harnessing the power of communication and behavior science to enhance society's response to climate change.

Corner et al. (2018). Principles for effective communication and public engagement on climate change. **[TODO: missing from reference list]**"
13,08.12.2026,"Invited speaker","Guest speaker: Industry/Kanton","**[TODO: placeholder title — confirm speaker. Description below is the old course's recap-session text]**

We will reflect on the contributions by our guest speakers and how they relate to what we have learned in the previous sessions. In preparation for the exam, we will recap the main lessons learnt in this course.",""
14,15.12.2026,"Viktoria Cologna & Jan Pfänder","Discussion and lessons learnt","**[TODO: description below contains stale 2024 exam logistics — rewrite]**

The exam will take place on-site. The format of the exam (online or pen and paper) will be communicated at a later stage.",""
